Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,cleaned_text
24,24, Celebrating a milestone at work! 🎉               ,Positive,22-01-2023 14:30, CareerMilestone, Facebook , #Career #Milestone                      ,12,25, Canada  ,2023,1,22,14, celebrating a milestone at work 🎉               
25,25, Sunday brunch with friends.                        ,Neutral,22-01-2023 12:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15,30, UK ,2023,1,22,12, sunday brunch with friends                        
27,28, Learning a new language for personal growth.       ,Positive,23-01-2023 16:20, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25,50, India     ,2023,1,23,16, learning a new language for personal growth       
28,29, Quiet evening with a good book.                    ,Positive,23-01-2023 19:45, BookLover    , Instagram , #Reading #QuietTime                     ,15,30, Australia ,2023,1,23,19, quiet evening with a good book                    
29,30, Reflecting on the importance of mental health.     ,Neutral,24-01-2023 11:30, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22,45, USA      ,2023,1,24,11, reflecting on the importance of mental health     
30,31, New painting in progress! 🎨                       ,Neutral,24-01-2023 15:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12,25, Canada ,2023,1,24,15, new painting in progress 🎨                       
31,32, Weekend road trip to explore scenic views.         ,Positive,24-01-2023 17:30, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18,35, UK        ,2023,1,24,17, weekend road trip to explore scenic views         
32,33, Enjoying a cup of tea and watching the sunset.     ,Positive,25-01-2023 18:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15,30, India    ,2023,1,25,18, enjoying a cup of tea and watching the sunset     
33,34, Coding a new project with enthusiasm.              ,Positive,25-01-2023 13:15, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30,60, USA ,2023,1,25,13, coding a new project with enthusiasm              
34,35, Feeling inspired after attending a workshop.       ,Positive,26-01-2023 09:45, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25,50,USA,2023,1,26,9, feeling inspired after attending a workshop       
35,36, Winter sports day at the local park.               ,Neutral,26-01-2023 14:20, WinterSports  , Twitter  , #WinterSports #Fun                     ,15,30, Canada   ,2023,1,26,14, winter sports day at the local park               
36,37, Quality time with family this weekend.             ,Positive,26-01-2023 17:40, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22,45, UK        ,2023,1,26,17, quality time with family this weekend             
37,38, Attending a live music concert tonight.            ,Neutral,27-01-2023 20:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18,35, USA ,2023,1,27,20, attending a live music concert tonight            
38,39, Practicing mindfulness with meditation.            ,Neutral,27-01-2023 12:30, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15,30, India    ,2023,1,27,12, practicing mindfulness with meditation            
39,40, Trying out a new dessert recipe.                   ,Neutral,27-01-2023 16:10, DessertExplorer, Facebook , #Dessert #Cooking                      ,12,25, Canada ,2023,1,27,16, trying out a new dessert recipe                   
40,41, Excited about the upcoming gaming tournament.      ,Positive,28-01-2023 09:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30,60,USA,2023,1,28,9, excited about the upcoming gaming tournament      
41,42, Planning a garden makeover for spring.             ,Neutral,28-01-2023 14:45, GardenPlanner , Twitter  , #Gardening #Spring                     ,25,50, USA      ,2023,1,28,14, planning a garden makeover for spring             
42,43, Celebrating a friend's birthday tonight! 🎂       ,Positive,28-01-2023 19:30, BirthdayBash , Facebook , #Birthday #Celebration                  ,15,30, UK ,2023,1,28,19, celebrating a friends birthday tonight 🎂       
43,44, Feeling accomplished after a productive day.       ,Positive,29-01-2023 17:00, ProductivityWin, Instagram , #Accomplished #Success               ,22,45, India ,2023,1,29,17, feeling accomplished after a productive day       
44,45, A cozy evening with a good movie.                 ,Positive,29-01-2023 20:20, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18,35, Canada   ,2023,1,29,20, a cozy evening with a good movie                 
45,46, Exploring local art galleries this weekend.        ,Positive,30-01-2023 11:30, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15,30, USA      ,2023,1,30,11, exploring local art galleries this weekend        
46,47, New book release from my favorite author!          ,Positive,30-01-2023 15:45, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12,25, UK   ,2023,1,30,15, new book release from my favorite author          
47,48, Attending a virtual reality meetup.                ,Neutral,30-01-2023 18:30, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28,55, India    ,2023,1,30,18, attending a virtual reality meetup                
48,49, Reflecting on the beauty of nature.                ,Positive,31-01-2023 10:45, NatureLover  , Facebook , #Nature #Reflection                     ,15,30, Australia ,2023,1,31,10, reflecting on the beauty of nature                
49,50, Cooking a special dinner for loved ones.           ,Positive,31-01-2023 19:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20,40, USA       ,2023,1,31,19, cooking a special dinner for loved ones           
50,51, Feeling optimistic about the week ahead.           ,Positive,31-01-2023 16:20, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15,30, Canada   ,2023,1,31,16, feeling optimistic about the week ahead           
51,52, Starting a new fitness challenge tomorrow! 💪     ,Positive,01-02-2023 08:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22,45, UK         ,2023,2,1,8, starting a new fitness challenge tomorrow 💪     
52,53, Sunday bike ride through scenic trails.           ,Neutral,01-02-2023 13:30, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18,35, USA     ,2023,2,1,13, sunday bike ride through scenic trails           
53,55, Can't believe the injustice happening in our society.,Negative,11-02-2023 09:30, SocialJustice   , Twitter  , #Injustice #Angry                            ,20,40, Canada     ,2023,2,11,9, cant believe the injustice happening in our society
54,56, Feeling a sense of fear after watching a thriller movie. ,Negative,11-02-2023 21:15, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15,30, USA          ,2023,2,11,21, feeling a sense of fear after watching a thriller movie 
55,57, Heartbroken after hearing the news about a natural disaster. ,Negative,12-02-2023 14:45, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25,50, India      ,2023,2,12,14, heartbroken after hearing the news about a natural disaster 
56,58, The state of the world's environment is just disgusting. ,Negative,12-02-2023 18:20, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18,35, UK         ,2023,2,12,18, the state of the worlds environment is just disgusting 
57,59, Pure happiness: celebrating a loved one's achievement! ,Positive,13-02-2023 10:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30,60, USA ,2023,2,13,10, pure happiness celebrating a loved ones achievement 
58,60, Laughter is the best medicine—enjoying a comedy show. ,Positive,13-02-2023 19:30, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22,45, Canada    ,2023,2,13,19, laughter is the best medicine—enjoying a comedy show 
59,61, Sharing love and positive vibes with everyone! ❤️      ,Positive,14-02-2023 08:30, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,14,8, sharing love and positive vibes with everyone ❤️      
60,62, An amusing incident brightened up my day!               ,Positive,14-02-2023 14:20, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18,35, UK           ,2023,2,14,14, an amusing incident brightened up my day               
61,63, Enjoying a quiet evening with a book and some tea.      ,Positive,14-02-2023 19:45, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25,50, Canada       ,2023,2,14,19, enjoying a quiet evening with a book and some tea      
62,64, Admiring the beauty of nature during a peaceful hike.   ,Positive,15-02-2023 11:30, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20,40, USA       ,2023,2,15,11, admiring the beauty of nature during a peaceful hike   
63,65, Sending affectionate vibes to all my followers!          ,Positive,15-02-2023 16:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15,30,USA,2023,2,15,16, sending affectionate vibes to all my followers          
64,66, Experiencing awe at the breathtaking sunset.            ,Positive,15-02-2023 20:30, AweStruck       , Facebook , #Awe #Breathtaking                          ,22,45, Australia   ,2023,2,15,20, experiencing awe at the breathtaking sunset            
65,67, Disappointed with the service at a local restaurant.    ,Negative,16-02-2023 09:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18,35, India      ,2023,2,16,9, disappointed with the service at a local restaurant    
66,68, A surprise gift from a friend made my day!              ,Positive,16-02-2023 14:45, HappySurprise   , Instagram , #Surprise #Gift                              ,25,50, USA          ,2023,2,16,14, a surprise gift from a friend made my day              
67,69, Finding acceptance in the midst of life's challenges.   ,Positive,16-02-2023 18:20, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15,30, Canada     ,2023,2,16,18, finding acceptance in the midst of lifes challenges   
68,70, Overflowing with adoration for my adorable pet! 🐾      ,Positive,17-02-2023 10:45, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22,45, UK        ,2023,2,17,10, overflowing with adoration for my adorable pet 🐾      
69,71, Anticipating a thrilling adventure in the coming weeks. ,Positive,17-02-2023 07:30, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20,40,USA,2023,2,17,7, anticipating a thrilling adventure in the coming weeks 
70,72, A bitter experience turned into a valuable lesson.      ,Neutral,17-02-2023 15:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18,35, USA       ,2023,2,17,15, a bitter experience turned into a valuable lesson      
71,73, Finding calmness in the midst of a busy day.            ,Positive,18-02-2023 09:30, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15,30, India     ,2023,2,18,9, finding calmness in the midst of a busy day            
72,74, Confusion clouds my mind as I navigate through decisions.,Negative,18-02-2023 14:20, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25,50, UK   ,2023,2,18,14, confusion clouds my mind as i navigate through decisions
73,75, Excitement building up for the upcoming vacation!       ,Positive,18-02-2023 18:45, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22,45, Canada    ,2023,2,18,18, excitement building up for the upcoming vacation       
74,76, Kindness witnessed today restored my faith in humanity. ,Positive,19-02-2023 11:30, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20,40, USA       ,2023,2,19,11, kindness witnessed today restored my faith in humanity 
75,77, Pride in achieving a personal milestone.               ,Positive,19-02-2023 16:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30,60, Australia    ,2023,2,19,16, pride in achieving a personal milestone               
76,78, A moment of shame for not standing up against injustice. ,Negative,19-02-2023 19:45, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15,30, India      ,2023,2,19,19, a moment of shame for not standing up against injustice 
77,79, Fuming with anger after a heated argument.            ,Negative,20-02-2023 09:30, AngryDebater    , Twitter  , #Anger #Argument                             ,20,40, Canada     ,2023,2,20,9, fuming with anger after a heated argument            
78,80, The fear of the unknown is keeping me up at night.    ,Negative,20-02-2023 21:15, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15,30, USA          ,2023,2,20,21, the fear of the unknown is keeping me up at night    
79,81, Heartfelt sadness after bidding farewell to a dear friend. ,Negative,21-02-2023 14:45, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25,50, India      ,2023,2,21,14, heartfelt sadness after bidding farewell to a dear friend 
80,82, The state of corruption in our society is utterly disgusting. ,Negative,21-02-2023 18:20, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18,35, UK         ,2023,2,21,18, the state of corruption in our society is utterly disgusting 
81,83, Overflowing happiness: welcoming a new family member!  ,Positive,22-02-2023 10:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30,60, UK           ,2023,2,22,10, overflowing happiness welcoming a new family member  
82,84, Laughter is the key to joy—attending a stand-up comedy show. ,Positive,22-02-2023 19:30, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22,45, Canada    ,2023,2,22,19, laughter is the key to joy—attending a standup comedy show 
83,85, Sending love to all my followers on this beautiful day! ❤️ ,Positive,23-02-2023 08:30, LoveSender      , Twitter  , #Love #SpreadLove                            ,15,30, Australia  ,2023,2,23,8, sending love to all my followers on this beautiful day ❤️ 
84,86, Amused by the antics of my pet—it's pure amusement!      ,Positive,23-02-2023 14:20, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18,35, UK           ,2023,2,23,14, amused by the antics of my pet—its pure amusement      
85,87, Enjoying every moment of this trip—pure enjoyment!      ,Positive,23-02-2023 19:45, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25,50, USA ,2023,2,23,19, enjoying every moment of this trip—pure enjoyment      
86,88, Admiring the dedication of volunteers at a local charity. ,Positive,24-02-2023 11:30, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20,40, USA        ,2023,2,24,11, admiring the dedication of volunteers at a local charity 
87,89, Sending affectionate vibes to friends and family.        ,Positive,24-02-2023 16:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15,30,USA,2023,2,24,16, sending affectionate vibes to friends and family        
88,90, Awe-struck by the beauty of the night sky.               ,Positive,24-02-2023 20:30, Stargazer       , Facebook , #Awe #StarryNight                        ,22,45, Australia ,2023,2,24,20, awestruck by the beauty of the night sky               
89,91, Disappointed with the lack of progress in a personal project. ,Negative,25-02-2023 09:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18,35, India      ,2023,2,25,9, disappointed with the lack of progress in a personal project 
90,92, A surprise visit from an old friend brought tears of joy. ,Positive,25-02-2023 14:45, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25,50, USA          ,2023,2,25,14, a surprise visit from an old friend brought tears of joy 
91,93, Embracing acceptance of life's ups and downs.           ,Positive,25-02-2023 18:20, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15,30, Canada     ,2023,2,25,18, embracing acceptance of lifes ups and downs           
92,94, Overflowing adoration for a cute rescue puppy! 🐶       ,Positive,26-02-2023 10:45, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22,45, UK         ,2023,2,26,10, overflowing adoration for a cute rescue puppy 🐶       
93,95, Anticipating the release of a much-awaited movie.       ,Positive,26-02-2023 07:30, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20,40, Australia    ,2023,2,26,7, anticipating the release of a muchawaited movie       
94,96, Bitter experience at the customer service department.   ,Negative,26-02-2023 15:00, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18,35, USA       ,2023,2,26,15, bitter experience at the customer service department   
95,97, Finding calmness amidst the chaos of daily life.        ,Positive,27-02-2023 09:30, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15,30, India     ,2023,2,27,9, finding calmness amidst the chaos of daily life        
96,98, Confusion reigns as I try to make sense of recent events.,Negative,27-02-2023 14:20, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25,50, UK   ,2023,2,27,14, confusion reigns as i try to make sense of recent events
97,99, Excitement building up for a surprise birthday party.   ,Positive,27-02-2023 18:45, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22,45, Canada ,2023,2,27,18, excitement building up for a surprise birthday party   
98,100, Witnessed an act of kindness that made my day.          ,Positive,28-02-2023 11:30, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20,40, USA       ,2023,2,28,11, witnessed an act of kindness that made my day          
99,101, Pride in completing a challenging fitness challenge.    ,Positive,28-02-2023 16:00, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30,60, UK            ,2023,2,28,16, pride in completing a challenging fitness challenge    
100,102, A moment of shame for not speaking up against injustice.,Negative,28-02-2023 19:45, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15,30, India     ,2023,2,28,19, a moment of shame for not speaking up against injustice
101,103, Reflecting on the beauty of diversity in our world.     ,Positive,01-03-2023 10:45, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22,45, Australia ,2023,3,1,10, reflecting on the beauty of diversity in our world     
102,104, Excitement for a quiet evening with a good book.        ,Positive,01-03-2023 13:30, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18,35, USA          ,2023,3,1,13, excitement for a quiet evening with a good book        
103,105, Feeling bitter about the unfairness in the workplace.   ,Negative,01-03-2023 17:45, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15,30, Canada    ,2023,3,1,17, feeling bitter about the unfairness in the workplace   
104,106, Calmness prevails as I practice mindfulness.            ,Positive,02-03-2023 18:00, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15,30, UK        ,2023,3,2,18, calmness prevails as i practice mindfulness            
105,107, Confusion surrounds me as I navigate through life's choices. ,Negative,02-03-2023 13:15, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30,60, USA   ,2023,3,2,13, confusion surrounds me as i navigate through lifes choices 
106,108, Excitement for a weekend road trip to explore new places. ,Positive,02-03-2023 16:45, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25,50, India     ,2023,3,2,16, excitement for a weekend road trip to explore new places 
107,109, Kindness witnessed today restores my faith in humanity.  ,Positive,03-03-2023 11:30, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22,45, USA       ,2023,3,3,11, kindness witnessed today restores my faith in humanity  
108,110, Pride in accomplishing personal and professional goals.  ,Positive,03-03-2023 14:30, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12,25, Canada ,2023,3,3,14, pride in accomplishing personal and professional goals  
109,111, Shame for not being true to my values in a difficult situation.,Negative,03-03-2023 12:00, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15,30, UK        ,2023,3,3,12, shame for not being true to my values in a difficult situation
110,112," Revisiting old memories, feeling a sense of elation. ",Positive,15-05-2010 15:30, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20,40, Canada    ,2010,5,15,15, revisiting old memories feeling a sense of elation 
111,113, The victory of our team brought euphoria to the city. ,Positive,10-08-2021 21:15, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15,30, USA      ,2021,8,10,21, the victory of our team brought euphoria to the city 
112,114," Embracing the beauty of nature, a moment of contentment. ",Positive,20-06-2011 14:45, NatureLover2    , Facebook , #Contentment #Nature                           ,25,50, India       ,2011,6,20,14, embracing the beauty of nature a moment of contentment 
113,115," Meditating by the serene lake, finding inner peace.   ",Positive,12-02-2022 18:20, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18,35, UK          ,2022,2,12,18, meditating by the serene lake finding inner peace   
114,116, Overflowing with gratitude for life's blessings.      ,Positive,25-11-2012 10:00, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30,60, Australia   ,2012,11,25,10, overflowing with gratitude for lifes blessings      
115,117," Hopeful for a brighter tomorrow, despite challenges.  ",Positive,05-04-2013 19:30, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22,45, USA      ,2013,4,5,19, hopeful for a brighter tomorrow despite challenges  
116,118, Empowered to make a difference in my community.        ,Positive,14-09-2014 08:30, CommunityLeader , Twitter  , #Empowerment #Community                        ,15,30, UK       ,2014,9,14,8, empowered to make a difference in my community        
117,119, Compassion in action: supporting a local charity event. ,Positive,18-07-2015 14:20, CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18,35, Canada ,2015,7,18,14, compassion in action supporting a local charity event 
118,120," A moment of tenderness, connecting with loved ones.    ",Positive,23-02-2016 19:45, LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25,50, UK          ,2016,2,23,19, a moment of tenderness connecting with loved ones    
119,121, Arousal of excitement as I await a special announcement.,Positive,30-10-2017 11:30, ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20,40, Australia ,2017,10,30,11, arousal of excitement as i await a special announcement
120,122, Enthusiastically diving into a new project.            ,Positive,15-06-2018 16:00, ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15,30, USA  ,2018,6,15,16, enthusiastically diving into a new project            
121,123, Feeling a sense of fulfillment after reaching a milestone.,Positive,28-03-2019 18:20, MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22,45, India     ,2019,3,28,18, feeling a sense of fulfillment after reaching a milestone
122,124, Reverence for the beauty of a historic landmark.       ,Positive,11-11-2019 15:00, HistoryLover    , Twitter  , #Reverence #History                           ,18,35, UK      ,2019,11,11,15, reverence for the beauty of a historic landmark       
123,125, Elation after a surprise reunion with old friends.    ,Positive,02-04-2020 09:30, JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25,50, Canada      ,2020,4,2,9, elation after a surprise reunion with old friends    
124,126, The euphoria of a live music concert under the stars.  ,Positive,19-06-2021 14:45, MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15,30, USA ,2021,6,19,14, the euphoria of a live music concert under the stars  
125,127, Contentment in the simplicity of a quiet Sunday.       ,Positive,15-08-2010 10:00, SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30,60, Australia ,2010,8,15,10, contentment in the simplicity of a quiet sunday       
126,128, Serenity found in the pages of a favorite book.        ,Positive,22-09-2011 19:30, BookLover3      , Instagram , #Serenity #BookTime                           ,22,45, UK          ,2011,9,22,19, serenity found in the pages of a favorite book        
127,129, Gratitude for the support received during tough times. ,Positive,10-03-2012 08:30, SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15,30, India     ,2012,3,10,8, gratitude for the support received during tough times 
128,130, Hopeful about the possibilities of a new journey.      ,Positive,05-12-2013 16:00, JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18,35, Canada    ,2013,12,5,16, hopeful about the possibilities of a new journey      
129,131, Empowerment through learning and personal growth.      ,Positive,20-07-2014 11:30, GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25,50,USA,2014,7,20,11, empowerment through learning and personal growth      
130,132, Compassion towards those in need during the holidays.  ,Positive,22-12-2015 14:20, HolidayHelper   , Facebook , #Compassion #HolidaySupport                   ,18,35, USA      ,2015,12,22,14, compassion towards those in need during the holidays  
131,133, Tenderness in the warmth of a cozy winter evening.     ,Positive,10-02-2016 19:45, WinterWarmth    , Twitter  , #Tenderness #CozyEvening                     ,25,50, UK       ,2016,2,10,19, tenderness in the warmth of a cozy winter evening     
132,134, Arousal of excitement for an upcoming adventure.       ,Positive,30-04-2017 11:30, AdventureAwaits , Instagram , #Arousal #AdventureTime                       ,20,40, Australia ,2017,4,30,11, arousal of excitement for an upcoming adventure       
133,135, Enthusiasm for a creative project in the making.       ,Positive,15-09-2018 16:00, CreativeSpirit  , Facebook , #Enthusiasm #Creativity                       ,15,30, Canada    ,2018,9,15,16, enthusiasm for a creative project in the making       
134,136, Fulfillment in completing a challenging workout routine.,Positive,28-06-2019 18:20, FitnessAchiever , Twitter  , #Fulfillment #FitnessGoals                   ,22,45, India     ,2019,6,28,18, fulfillment in completing a challenging workout routine
135,137, Reverence for the artistry displayed in a museum.      ,Neutral,11-11-2020 15:00, ArtAppreciator  , Instagram , #Reverence #ArtAppreciation                  ,18,35, UK        ,2020,11,11,15, reverence for the artistry displayed in a museum      
136,138, Elation after achieving a personal goal.               ,Positive,02-03-2021 09:30, GoalAchiever2   , Facebook , #Elation #PersonalAchievement                ,25,50, USA      ,2021,3,2,9, elation after achieving a personal goal               
